Date;Time;Bar#;Bar Index;Tick Range;Open;High;Low;Close;PL;PC;MA;PH;Vol
09.11.2018;15:28:00;20683/20683;0;0;12,9;12,9;12,9;12,9;13,4588;13,79;12,90;14,02;200
09.11.2018;15:27:00;20682/20683;-1;1;12,91;12,91;12,9;12,9;13,4588;13,79;12,90;14,02;400
09.11.2018;15:24:00;20681/20683;-2;3;12,905;12,92;12,89;12,905;13,4588;13,79;12,90;14,02;2400
09.11.2018;15:23:00;20680/20683;-3;0;12,89;12,89;12,89;12,89;13,4588;13,79;12,90;14,02;300
09.11.2018;15:20:00;20679/20683;-4;5;12,915;12,92;12,87;12,87;13,4588;13,79;12,90;14,02;4300
09.11.2018;15:19:00;20678/20683;-5;0;12,96;12,96;12,96;12,96;13,4588;13,79;12,91;14,02;100
09.11.2018;15:13:00;20677/20683;-6;7;12,91;12,97;12,9;12,97;13,4588;13,79;12,90;14,02;3700
09.11.2018;15:11:00;20676/20683;-7;0;12,86;12,86;12,86;12,86;13,4588;13,79;12,89;14,02;400
09.11.2018;15:10:00;20675/20683;-8;1;12,88;12,88;12,87;12,87;13,4588;13,79;12,90;14,02;700
09.11.2018;15:08:00;20674/20683;-9;0;12,89;12,89;12,89;12,89;13,4588;13,79;12,90;14,02;100
09.11.2018;15:07:00;20673/20683;-10;2;12,92;12,92;12,9;12,9;13,4588;13,79;12,90;14,02;500
09.11.2018;15:06:00;20672/20683;-11;1;12,94;12,94;12,93;12,93;13,4588;13,79;12,90;14,02;350
09.11.2018;15:05:00;20671/20683;-12;0;12,98;12,98;12,98;12,98;13,4588;13,79;12,90;14,02;100
09.11.2018;15:04:00;20670/20683;-13;1;12,98;12,98;12,97;12,97;13,4588;13,79;12,89;14,02;10800
09.11.2018;15:03:00;20669/20683;-14;0;12,93;12,93;12,93;12,93;13,4588;13,79;12,88;14,02;300
09.11.2018;15:02:00;20668/20683;-15;5;12,978;12,978;12,93;12,93;13,4588;13,79;12,88;14,02;330
09.11.2018;15:01:00;20667/20683;-16;0;12,93;12,93;12,93;12,93;13,4588;13,79;12,87;14,02;100
09.11.2018;15:00:00;20666/20683;-17;3;12,93;12,96;12,93;12,96;13,4588;13,79;12,87;14,02;800
09.11.2018;14:59:00;20665/20683;-18;0;12,9684;12,9684;12,9684;12,9684;13,4588;13,79;12,86;14,02;105
09.11.2018;14:58:00;20664/20683;-19;1;12,94;12,94;12,93;12,93;13,4588;13,79;12,85;14,02;200
09.11.2018;14:54:00;20663/20683;-20;4;12,94;12,98;12,94;12,98;13,4588;13,79;12,84;14,02;1000
09.11.2018;14:52:00;20662/20683;-21;0;12,9236;12,9236;12,9236;12,9236;13,4588;13,79;12,83;14,02;100
09.11.2018;14:51:00;20661/20683;-22;0;12,94;12,94;12,94;12,94;13,4588;13,79;12,82;14,02;100
09.11.2018;14:48:00;20660/20683;-23;0;12,9;12,9;12,9;12,9;13,4588;13,79;12,80;14,02;200
09.11.2018;14:46:00;20659/20683;-24;0;12,9;12,9;12,9;12,9;13,4588;13,79;12,79;14,02;300
09.11.2018;14:44:00;20658/20683;-25;0;12,89;12,89;12,89;12,89;13,4588;13,79;12,78;14,02;300
09.11.2018;14:43:00;20657/20683;-26;2;12,83;12,85;12,83;12,85;13,4588;13,79;12,77;14,02;300
09.11.2018;14:42:00;20656/20683;-27;9;12,73;12,82;12,73;12,82;13,4588;13,79;12,76;14,02;5000
09.11.2018;14:41:00;20655/20683;-28;6;12,72;12,75;12,69;12,69;13,4588;13,79;12,76;14,02;400
09.11.2018;14:40:00;20654/20683;-29;0;12,7;12,7;12,7;12,7;13,4588;13,79;12,77;14,02;300
09.11.2018;14:39:00;20653/20683;-30;1;12,71;12,71;12,7;12,7;13,4588;13,79;12,77;14,02;300
09.11.2018;14:38:00;20652/20683;-31;3;12,71;12,74;12,71;12,71;13,4588;13,79;12,78;14,02;400
09.11.2018;14:37:00;20651/20683;-32;7;12,78;12,78;12,71;12,71;13,4588;13,79;12,79;14,02;600
09.11.2018;14:36:00;20650/20683;-33;0;12,72;12,72;12,72;12,72;13,4588;13,79;12,79;14,02;300
09.11.2018;14:35:00;20649/20683;-34;0;12,72;12,72;12,72;12,72;13,4588;13,79;12,80;14,02;100
09.11.2018;14:34:00;20648/20683;-35;5;12,73;12,78;12,73;12,78;13,4588;13,79;12,81;14,02;300
09.11.2018;14:33:00;20647/20683;-36;4;12,75;12,765;12,73;12,73;13,4588;13,79;12,81;14,02;400
09.11.2018;14:32:00;20646/20683;-37;1;12,76;12,76;12,75;12,75;13,4588;13,79;12,82;14,02;300
09.11.2018;14:31:00;20645/20683;-38;0;12,76;12,76;12,76;12,76;13,4588;13,79;12,83;14,02;300
09.11.2018;14:30:00;20644/20683;-39;2;12,78;12,78;12,76;12,76;13,4588;13,79;12,84;14,02;200
09.11.2018;14:29:00;20643/20683;-40;2;12,8;12,8;12,78;12,78;13,4588;13,79;12,84;14,02;300
09.11.2018;14:28:00;20642/20683;-41;3;12,8;12,8345;12,8;12,8345;13,4588;13,79;12,85;14,02;800
09.11.2018;14:27:00;20641/20683;-42;2;12,8;12,825;12,8;12,8;13,4588;13,79;12,85;14,02;400
09.11.2018;14:26:00;20640/20683;-43;3;12,8;12,83;12,8;12,83;13,4588;13,79;12,86;14,02;540
09.11.2018;14:25:00;20639/20683;-44;0;12,8;12,8;12,8;12,8;13,4588;13,79;12,86;14,02;200
09.11.2018;14:23:00;20638/20683;-45;0;12,8;12,8;12,8;12,8;13,4588;13,79;12,87;14,02;200
09.11.2018;14:22:00;20637/20683;-46;5;12,858;12,858;12,81;12,85;13,4588;13,79;12,87;14,02;800
09.11.2018;14:21:00;20636/20683;-47;0;12,81;12,81;12,81;12,81;13,4588;13,79;12,87;14,02;100
09.11.2018;14:19:00;20635/20683;-48;0;12,82;12,82;12,82;12,82;13,4588;13,79;12,88;14,02;200
09.11.2018;14:18:00;20634/20683;-49;0;12,83;12,83;12,83;12,83;13,4588;13,79;12,89;14,02;100
09.11.2018;14:17:00;20633/20683;-50;0;12,83;12,83;12,83;12,83;13,4588;13,79;12,89;14,02;200
09.11.2018;14:16:00;20632/20683;-51;0;12,86;12,86;12,86;12,86;13,4588;13,79;12,90;14,02;100
09.11.2018;14:15:00;20631/20683;-52;3;12,85;12,88;12,85;12,86;13,4588;13,79;12,90;14,02;300
09.11.2018;14:13:00;20630/20683;-53;2;12,88;12,8954;12,88;12,895;13,4588;13,79;12,91;14,02;554
09.11.2018;14:12:00;20629/20683;-54;0;12,88;12,88;12,88;12,88;13,4588;13,79;12,91;14,02;500
09.11.2018;14:11:00;20628/20683;-55;3;12,88;12,9137;12,88;12,88;13,4588;13,79;12,91;14,02;1630
09.11.2018;14:10:00;20627/20683;-56;4;12,88;12,92;12,88;12,88;13,4588;13,79;12,91;14,02;300
09.11.2018;14:09:00;20626/20683;-57;2;12,905;12,905;12,88;12,88;13,4588;13,79;12,92;14,02;400
09.11.2018;14:08:00;20625/20683;-58;2;12,9;12,9;12,88;12,88;13,4588;13,79;12,92;14,02;1000
09.11.2018;14:07:00;20624/20683;-59;1;12,9;12,9065;12,9;12,9065;13,4588;13,79;12,93;14,02;600
09.11.2018;14:06:00;20623/20683;-60;1;12,91;12,91;12,9;12,9;13,4588;13,79;12,93;14,02;400
09.11.2018;14:05:00;20622/20683;-61;0;12,91;12,91;12,91;12,91;13,4588;13,79;12,93;14,02;100
09.11.2018;14:04:00;20621/20683;-62;2;12,93;12,95;12,93;12,95;13,4588;13,79;12,93;14,02;400
09.11.2018;14:03:00;20620/20683;-63;3;12,93;12,93;12,9;12,93;13,4588;13,79;12,93;14,02;700
09.11.2018;14:02:00;20619/20683;-64;2;12,945;12,945;12,93;12,93;13,4588;13,79;12,93;14,02;600
09.11.2018;14:01:00;20618/20683;-65;3;12,96;12,96;12,93;12,93;13,4588;13,79;12,93;14,02;1050
09.11.2018;14:00:00;20617/20683;-66;0;12,93;12,93;12,93;12,93;13,4588;13,79;12,93;14,02;200
09.11.2018;13:55:00;20616/20683;-67;0;12,92;12,92;12,92;12,92;13,4588;13,79;12,93;14,02;100
09.11.2018;13:54:00;20615/20683;-68;0;12,97;12,97;12,97;12,97;13,4588;13,79;12,93;14,02;100
09.11.2018;13:53:00;20614/20683;-69;0;12,93;12,93;12,93;12,93;13,4588;13,79;12,93;14,02;200
09.11.2018;13:52:00;20613/20683;-70;0;12,94;12,94;12,94;12,94;13,4588;13,79;12,93;14,02;246
09.11.2018;13:51:00;20612/20683;-71;0;12,94;12,94;12,94;12,94;13,4588;13,79;12,93;14,02;300
09.11.2018;13:50:00;20611/20683;-72;0;12,94;12,94;12,94;12,94;13,4588;13,79;12,93;14,02;100
09.11.2018;13:49:00;20610/20683;-73;5;12,94;12,99;12,94;12,99;13,4588;13,79;12,93;14,02;300
09.11.2018;13:48:00;20609/20683;-74;6;13;13;12,94;12,94;13,4588;13,79;12,92;14,02;200
09.11.2018;13:47:00;20608/20683;-75;5;12,99;12,99;12,94;12,94;13,4588;13,79;12,92;14,02;500
